context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_screen,n_exit_screen,n_exit_block,n_enter_block,n_enter_item,n_next_button,n_exit_item,n_enter_assessment,n_change_page,n_change_tab,n_show_help,n_hide_help,n_trigger_scroll,n_activate_tts,n_top_button,n_speak_tts,n_deactivate_tts,n_open_activitypanel,n_click_button,n_bottomreached_scroll,n_play_speechbubble,n_out_zoom,n_change_theme,n_click_lbb,n_play_mediaplayer,n_captionon_mediaplayer,n_end_mediaplayer,n_close_activitypanel,n_pause_speechbubble,n_click_sip,n_select_sip,n_update_sip,n_update_singleselect,n_clear_singleselect,n_in_zoom,n_update_multiselect,n_update_textinput,n_scrub_mediaplayer,n_previous_button,n_clear_multiselect,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_erasemode_scratchwork,n_deactivate_scratchwork,n_more_button,n_captionoff_mediaplayer,n_pause_mediaplayer,n_changevolume_mediaplayer,n_highlightmode_scratchwork,n_mute_mediaplayer,n_hide_timer,n_show_timer,enter_screen_bool,exit_screen_bool,exit_block_bool,enter_block_bool,enter_item_bool,next_button_bool,exit_item_bool,enter_assessment_bool,change_page_bool,change_tab_bool,show_help_bool,hide_help_bool,trigger_scroll_bool,activate_tts_bool,top_button_bool,speak_tts_bool,deactivate_tts_bool,ope_bool,click_button_bool,bottomreached_scroll_bool,play_speechbubble_bool,out_zoom_bool,change_theme_bool,click_lbb_bool,play_mediaplayer_bool,captiono_bool,end_mediaplayer_bool,close_activitypanel_bool,pause_speechbubble_bool,click_sip_bool,select_sip_bool,update_sip_bool,update_singleselect_bool,clear_singleselect_bool,i_bool,update_multiselect_bool,update_textinput_bool,scrub_mediaplayer_bool,previous_button_bool,clear_multiselect_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,erasemode_scratchwork_bool,deactivate_scratchwork_bool,more_button_bool,captionoff_mediaplayer_bool,pause_mediaplayer_bool,changevolume_mediaplayer_bool,highlightmode_scratchwork_bool,mute_mediaplayer_bool,hide_timer_bool,show_timer_bool,n_modalitychanged,modalitychanged_bool
NY62LP,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,touch,VH574485,VH574485,"['open_activitypanel', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PG68BV,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True
PG68BV,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True
PM43QK,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PM43QK,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['update_textinput', 'update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
PM43WS,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PM43WS,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PN29RQ,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PN29RQ,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,touch,VH574485,VH574485,['update_textinput'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PP45TB,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PP45TB,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,touch,VH574485,VH574485,"['update_textinput', 'open_activitypanel', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PQ69FT,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PQ69FT,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['open_activitypanel', 'update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PS22PY,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
PS22PY,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
QF86LW,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,keyboard,VH574485,VH574485,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
QF86LW,2419RE1R71CLIT30EX,Reading,4th Grade,Cog,English,no accom,mouse,VH574485,VH574485,"['update_textinput', 'click_button']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
